m,n,misprediction_rate
7,0,26.6485
7,1,27.7083
7,2,28.9838
7,3,29.9847
7,4,30.7588
7,5,31.9005
7,6,33.2203
7,7,33.8379

8,0,22.4286
8,1,23.2662
8,2,25.1783
8,3,25.9566
8,4,26.5729
8,5,27.3503
8,6,27.8238
8,7,29.5884
8,8,30.5616

9,0,18.4933
9,1,18.8317
9,2,20.2474
9,3,21.6672
9,4,22.4297
9,5,23.4153
9,6,24.1433
9,7,24.8403
9,8,26.0792
9,9,26.79

10,0,15.6714
10,1,15.795
10,2,16.3925
10,3,17.4533
10,4,17.9924
10,5,18.1095
10,6,19.3631
10,7,20.3986
10,8,21.1011
10,9,21.9091
10,10,22.7695

11,0,13.6502
11,1,13.6445
11,2,13.7148
11,3,14.2942
11,4,14.4884
11,5,14.6681
11,6,15.138
11,7,15.7782
11,8,16.4683
11,9,17.2756
11,10,18.3385
11,11,18.9337

12,0,12.4672
12,1,12.0383
12,2,12.1959
12,3,12.0927
12,4,12.2338
12,5,12.5026
12,6,12.4562
12,7,12.6976
12,8,13.0022
12,9,13.7397
12,10,14.3262
12,11,14.827
12,12,15.4049

13,0,11.7193
13,1,11.4421
13,2,11.1051
13,3,10.7883
13,4,10.5676
13,5,10.6431
13,6,10.5937
13,7,10.5609
13,8,10.9952
13,9,11.3017
13,10,11.6768
13,11,12.1311
13,12,12.6777
13,13,12.8735

14,0,11.3708
14,1,10.7587
14,2,10.4237
14,3,10.0428
14,4,9.68745
14,5,9.4145
14,6,9.0789
14,7,9.1588
14,8,9.33865
14,9,9.56655
14,10,9.833
14,11,10.0946
14,12,10.4756
14,13,10.8961
14,14,11.1337

15,0,11.296
15,1,10.5754
15,2,10.1274
15,3,9.64445
15,4,9.13275
15,5,8.7486
15,6,8.30395
15,7,8.20295
15,8,8.21605
15,9,8.22945
15,10,8.45995
15,11,8.75315
15,12,9.0144
15,13,9.204
15,14,9.4812
15,15,9.85265

16,0,11.2061
16,1,10.5157
16,2,9.92575
16,3,9.33905
16,4,8.7735
16,5,8.41615
16,6,7.88935
16,7,7.57985
16,8,7.5653
16,9,7.4907
16,10,7.6082
16,11,7.719
16,12,7.86405
16,13,8.08225
16,14,8.3413
16,15,8.55965
16,16,8.7464

17,0,11.1865
17,1,10.4362
17,2,9.8698
17,3,9.21725
17,4,8.6009
17,5,8.15585
17,6,7.5588
17,7,7.30395
17,8,7.12675
17,9,7.0448
17,10,7.11415
17,11,7.03095
17,12,7.15725
17,13,7.3022
17,14,7.38315
17,15,7.54605
17,16,7.74215
17,17,8.01595

18,0,11.1738
18,1,10.4261
18,2,9.8183
18,3,9.1755
18,4,8.5192
18,5,8.0574
18,6,7.45415
18,7,7.11565
18,8,6.90535
18,9,6.76475
18,10,6.7347
18,11,6.7525
18,12,6.77635
18,13,6.81185
18,14,6.90455
18,15,6.98665
18,16,7.15355
18,17,7.30115
18,18,7.48665

19,0,11.1745
19,1,10.4188
19,2,9.8119
19,3,9.1325
19,4,8.5036
19,5,7.9889
19,6,7.3849
19,7,7.04595
19,8,6.78805
19,9,6.61205
19,10,6.54525
19,11,6.496
19,12,6.4736
19,13,6.4981
19,14,6.5527
19,15,6.66345
19,16,6.78145
19,17,6.89585
19,18,7.0127
19,19,7.17505

20,0,11.1745
20,1,10.4162
20,2,9.80255
20,3,9.12125
20,4,8.45635
20,5,7.962
20,6,7.331
20,7,6.9681
20,8,6.7193
20,9,6.52615
20,10,6.444
20,11,6.3715
20,12,6.3688
20,13,6.39625
20,14,6.391
20,15,6.4498
20,16,6.5609
20,17,6.6482
20,18,6.78715
20,19,6.9057
20,20,7.0361
